mask_hex,rank,joint,margin_ticks
1d444004,8,0,644965272680274
03083610,8,0,556245300636900
13301014,8,0,323968484658294
030284d0,8,0,395179464577590
07105401,8,0,1741173195235320
068c6400,8,0,671622676991910
23640c00,8,0,565566525731340
05413082,8,0,24109831354140
054d2010,8,0,527703649234020
22806c40,8,0,383501919559500
23001c48,8,0,128472566105268
21096102,8,0,499744586467350
34180019,8,0,342113156504532
20d94100,8,0,577931121039510
0be80400,8,0,220108003009020
2c4e2000,8,0,483623172029340
32544040,8,0,124059224758014
00357008,8,0,211535686278378
240c5480,8,0,759084840046260
05c52200,8,0,640662724614780
0518e020,8,0,468248949057330
23892001,8,0,145894782923820
26142808,8,0,34280290598148
36007040,8,0,194322750958854
03342005,8,0,378161643307770
03530408,8,0,557219573487108
11141a80,8,0,165858956075358
03534001,8,0,401346536856930
01185103,8,0,500823311061150
20984242,8,0,1076593409697960
241a2c00,8,0,1027206985151340
05086e00,8,0,414068237503200
0140e282,8,0,138006717030000
050c4680,8,0,184799720009520
3600a480,8,0,303450216758514
0a505c00,8,0,324567242128080
25106014,8,0,504708870525930
300c008d,8,0,521014627156842
059c1800,8,0,682002018008640
17310080,8,0,22883213025414
2410e201,8,0,319454231635350
21d24020,8,0,359426295927090
20195808,8,0,120813540303078
21145a00,8,0,391379587397190
03088445,8,0,1071278933972310
32306020,8,0,144765453932694
24225420,8,0,56045274533640
0608dc00,8,0,177427981755360
2b008442,8,0,520189415078130
13848802,8,0,191145118687614
288a4600,8,0,757239791734440
03526800,8,0,879000248445480
0138a480,8,0,789265979747280
101ce200,8,0,659447092350774
03630401,8,0,103566927204090
0038940a,8,0,29103378791508
2504b004,8,0,136453543149420
11144406,8,0,343916956382454
22306082,8,0,519462495907740
0151c801,8,0,706517602001820
09047009,8,0,290411128980378
0b16a000,8,0,467556415217010
33002206,8,0,28651877431254
180c440a,8,0,42957810570402
0090e308,8,0,35729650103238
21282288,8,0,622162831551408
34087020,8,0,699096731674824
298a4800,8,0,131900191828650
01162209,8,0,550781968807728
1084e300,8,0,513958457765844
05350880,8,0,298303168775850
25602404,8,0,260737100520750
201cd010,8,0,566591333687190
20386802,8,0,846044792025300
101c401a,8,0,121339609575912
015c0409,8,0,1573109758157868
248a5080,8,0,52755612657930
03904061,8,0,257583298735980
010ce101,8,0,97536072201750
26103410,8,0,353065907047140
0b48c400,8,0,524300520953160
29704200,8,0,169322246820720
03126c00,8,0,1180224629251920
03199080,8,0,8027082415800
0e40e400,8,0,38442297390840
3010e208,8,0,14328677572272
0532a080,8,0,86862161761830
2088610c,8,0,381443356893438
11705020,8,0,980716709671524
05216208,8,0,209663775495468
0721c400,8,0,754815136904010
01c82284,8,0,132162218765010
23022209,8,0,261523867000158
34505040,8,0,239614646177214
38407008,8,0,199057728548322
30e45000,8,0,712842160757454
201e200a,8,0,214011750110508
28b84800,8,0,491207219908650
13188009,8,0,720821010516012
02349044,8,0,38235193034850
25003406,8,0,173353271697900
29883008,8,0,29409191821548
05319800,8,0,885577768318530
05805029,8,0,108487231089678
10a55002,8,0,746715557915964
245c0410,8,0,304809860631150
01b80540,8,0,116472905520300
25180a80,8,0,1415995073872470
20525801,8,0,90239752764000
23122410,8,0,802300353577380
07501024,8,0,115711851337740
0a98c400,8,0,973329184931040
2118180c,8,0,622685372844528
23140481,8,0,1082838057426720
0290e00a,8,0,406211086133748
2411500c,8,0,419169835793268
1104248c,8,0,178111334958102
05b14010,8,0,170097716105730
0558c200,8,0,723898558129320
34007028,8,0,228542247306072
035c0810,8,0,62963376845670
