a_hex	b_hex	cover	count	least_mask	least_rank	count8	count9	mass	margin_ticks63
0000000003000008	0000000000000000	3	20	04628641	9	0	20	217512721880988	204843510307044
0000000003000009	0000000000000000	4	7	04628c41	9	0	7	217219816524540	186390472850820
000000000300000a	0000000000000000	4	21	0c230601	8	1	20	216859475629578	163688996468214
000000000300000b	0000000000000000	5	1	0c238441	9	0	1	222697357933550	531475581618450
0000000003000018	0000000000000000	4	17	04608e41	9	0	17	214598767791042	21264402640446
0000000003000019	0000000000000000	5	5	04618125	9	0	5	215787460319622	96152031940986
000000000300001a	0000000000000000	5	10	04218325	9	0	10	221646943712952	465299485720776
0000000003010000	0000000000000000	3	382	00a88641	8	12	370	214899085860942	40184441044146
0000000003010080	0000000000000000	4	1	08aa8203	9	0	1	214305299126718	2775876788034
0000000003018000	0000000000000000	4	38	00a48643	9	0	38	216425741824780	136363766765940
0000000003018040	0000000000000000	5	9	00e08643	9	0	9	216229028540322	123970829845086
0000000003018041	0000000000000000	6	7	08e08443	9	0	7	214937094409902	42578979628626
0000000003018042	0000000000000000	6	3	00a28643	9	0	3	216417999891118	135876024945234
0000000003018043	0000000000000000	7	3	08a28443	9	0	3	215641498221410	86956419753630
0000000003018842	0000000000000000	7	3	08a28642	9	0	3	218867266974558	290179851201954
0000000003410000	0000000000000000	4	61	006c8441	8	2	59	216384470071420	133763646304260
000000000349c000	0000000000000000	7	2	08648c41	9	0	2	214385613027520	7835652538560
0000000003610000	0000000000000000	5	24	00688643	9	0	24	216278455648902	127084737685626
0000000003e10000	0000000000000000	6	7	002a8643	9	0	7	214530383015008	16956161750304
0000000004000000	0000000000000000	1	15622	004c9448	8	1531	14091	215407613855092	72221704675596
0000000004000800	0000000000000000	2	20	00828ec8	9	0	20	214536575879558	17346312216954
