q,r,grid,mass,ticks,active
96,597,7259981447759040,487480189863296,1671326170351488,1
100,597,18149953619397600,1283277497304788,8246667852611244,1
192,597,14519962895518080,1018881641436626,6109691828435118,1
210,597,3629990723879520,259279725388100,1814659803932220,1
256,597,58079851582072320,3834651647820154,9263647484380422,1
260,597,3629990723879520,264456174516578,2140776099026334,1
294,597,25409935067156640,1863559540340696,15764510772837288,1
306,597,3629990723879520,260084197994286,1865341578121938,1
384,597,29039925791036160,2057001200010412,13431372436511316,1
96,596,5435865506111040,357634477483218,787510056998574,1
100,596,13589663765277600,950934137036208,5550195572170704,1
192,596,10871731012222080,749751186688080,3747400712460720,1
210,596,2717932753055520,184471981073484,750003795407412,1
256,596,43486924048888320,2805668814917038,2809439144220114,1
260,596,2717932753055520,194355513488544,1372666337556192,1
294,596,19025529271388640,1370194551332646,10220139648402138,1
306,596,2717932753055520,183736327896432,703657645253136,1
384,596,21743462024444160,1507702431524058,8011405088239014,1
96,595,36482318832960,2368771763870,3303345791970,1
100,595,91205797082400,6298275496712,31968167963256,1
147,595,127688115915360,9395565469628,81168160925124,1
186,595,565475941910880,38784546867456,181522685006208,1
192,595,72964637665920,4931954398316,18854576430228,1
206,595,1878839419897440,133172444623764,874506331707372,1
210,595,18241159416480,1288484385822,8209878640866,1
220,595,18241159416480,1285811303332,8041474443996,1
244,595,1112710724405280,81338246012272,673466601152016,1
256,595,291858550663680,19255932572530,45689549414670,1
260,595,18241159416480,1323199185824,10396911040992,1
265,595,966781449073440,67209918974956,367099099128468,1
294,595,127688115915360,9226252470284,70501441966452,1
296,595,674922898409760,49325086589914,407788861525542,1
306,595,18241159416480,1255943912570,6159828825990,1
320,595,72964637665920,5254277140686,39160909199538,1
332,595,1514016231567840,104456802189306,524713611654918,1
338,595,237135072414240,16425705998664,86279188258872,1
346,595,3155720579051040,229172315264670,1814973545470050,1
366,595,1112710724405280,77097771249712,406316691110736,1
370,595,674922898409760,46961613383772,258890049538596,1
372,595,565475941910880,39737098869328,241533461124144,1
384,595,145929275331840,10133011848802,54662645147166,1
416,595,36482318832960,2529116316186,13405052587878,1
420,595,18241159416480,1338319048556,11349462393108,1
440,595,18241159416480,1266850004984,6846912648072,1
512,595,583717101327360,39646838656162,162882430028766,1
520,595,18241159416480,1307415880030,9402562775970,1
